category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
grid,384,last3,14,0.03,0.06547723710536957,0.7644110275689222,0.6025641025641025,0.9523809523809523,0.47368421052631576,0.5993371996685999
grid,384,last3,14,0.05,0.058423738926649094,0.7827903091060986,0.5897435897435898,0.9523809523809523,0.45614035087719296,0.5873015873015873
grid,384,last3,14,0.1,0.05058354511857033,0.7719298245614035,0.5256410256410257,0.9523809523809523,0.3684210526315789,0.5255630445503863
grid,384,last3,20,0.01,0.07195333391427994,0.7535505430242273,0.6025641025641025,0.8095238095238095,0.5263157894736842,0.5912087912087912
grid,384,last3,20,0.03,0.06047512963414192,0.7786131996658312,0.6153846153846154,0.9047619047619048,0.5087719298245614,0.6089572192513368
grid,384,last3,20,0.05,0.05570216476917267,0.7752715121136174,0.6025641025641025,0.9047619047619048,0.49122807017543857,0.5972013993003498
grid,384,last3,20,0.1,0.0492507740855217,0.77109440267335,0.5769230769230769,0.9523809523809523,0.43859649122807015,0.5751774220168344
grid,512,last1,8,0.01,0.047043439000844955,0.7953216374269007,0.5512820512820513,1.0,0.38596491228070173,0.5512082853855005
grid,512,last1,8,0.03,0.039778608828783035,0.7986633249791145,0.5641025641025641,1.0,0.40350877192982454,0.5638157894736842
grid,512,last1,8,0.05,0.03048298880457878,0.7886382623224729,0.6153846153846154,0.9523809523809523,0.49122807017543857,0.6112956810631229
grid,512,last1,8,0.1,0.025144565850496292,0.7685881370091896,0.5897435897435898,0.8095238095238095,0.5087719298245614,0.5797979797979798
grid,512,last1,14,0.01,0.0961870327591896,0.7293233082706767,0.5128205128205128,1.0,0.3333333333333333,0.5125
grid,512,last1,14,0.03,0.058063097298145294,0.7710944026733502,0.5769230769230769,0.9523809523809523,0.43859649122807015,0.5751774220168344
grid,512,last1,14,0.05,0.047398991882801056,0.7736006683375105,0.6282051282051282,0.9523809523809523,0.5087719298245614,0.6231884057971014
grid,512,last1,14,0.1,0.03667056933045387,0.7593984962406015,0.5641025641025641,0.8095238095238095,0.47368421052631576,0.5568181818181819
grid,512,last1,20,0.01,0.08816612511873245,0.7736006683375104,0.5769230769230769,1.0,0.42105263157894735,0.5762962962962963
grid,512,last1,20,0.03,0.05727308243513107,0.8011695906432749,0.6538461538461539,1.0,0.5263157894736842,0.6491754122938531
grid,512,last1,20,0.05,0.04753194376826286,0.7978279030910611,0.6410256410256411,0.9047619047619048,0.543859649122807,0.6323232323232324
grid,512,last1,20,0.1,0.036697980016469955,0.7685881370091896,0.6153846153846154,0.8571428571428571,0.5263157894736842,0.606060606060606
grid,512,last2,8,0.01,0.04692753404378891,0.8922305764411028,0.7051282051282052,1.0,0.5964912280701754,0.6967032967032967
grid,512,last2,8,0.03,0.03777235001325607,0.8897243107769424,0.782051282051282,1.0,0.7017543859649122,0.7683033374104491
grid,512,last2,8,0.05,0.031877804547548294,0.8930659983291562,0.7564102564102564,0.8571428571428571,0.7192982456140351,0.7332133213321332
grid,512,last2,8,0.1,0.029225198552012444,0.8705096073517127,0.717948717948718,0.8571428571428571,0.6666666666666666,0.6980999296270232
grid,512,last2,14,0.01,0.09022309631109238,0.7861319966583125,0.6153846153846154,0.9047619047619048,0.5087719298245614,0.6089572192513368
grid,512,last2,14,0.03,0.06406181305646896,0.8629908103592314,0.7692307692307693,0.8571428571428571,0.7368421052631579,0.7450980392156863
grid,512,last2,14,0.05,0.05505004897713661,0.8696741854636593,0.7948717948717948,0.8095238095238095,0.7894736842105263,0.7645283018867925
grid,512,last2,14,0.1,0.04613567888736725,0.8429406850459482,0.7051282051282052,0.7619047619047619,0.6842105263157895,0.677047704770477
grid,512,last2,20,0.01,0.09436241537332535,0.8379281537176275,0.6410256410256411,1.0,0.5087719298245614,0.6372093023255814
grid,512,last2,20,0.03,0.06697777658700943,0.8813700918964077,0.7435897435897436,0.9047619047619048,0.6842105263157895,0.7255453905700211
grid,512,last2,20,0.05,0.059047576040029526,0.87468671679198,0.7307692307692307,0.8571428571428571,0.6842105263157895,0.7097288676236044
grid,512,last2,20,0.1,0.048597343266010284,0.8588137009189641,0.717948717948718,0.8095238095238095,0.6842105263157895,0.6935714285714285
grid,512,last3,8,0.01,0.039160966873168945,0.9064327485380117,0.782051282051282,1.0,0.7017543859649122,0.7683033374104491
grid,512,last3,8,0.03,0.03395654633641243,0.9139515455304928,0.782051282051282,0.8571428571428571,0.7543859649122807,0.7570983696647737
grid,512,last3,8,0.05,0.030762892216444016,0.9114452798663326,0.782051282051282,0.8095238095238095,0.7719298245614035,0.7523809523809524
grid,512,last3,8,0.1,0.02883722446858883,0.8863826232247285,0.7692307692307693,0.8095238095238095,0.7543859649122807,0.7403846153846154
grid,512,last3,14,0.01,0.08609473705291748,0.8345864661654134,0.6025641025641025,0.9047619047619048,0.49122807017543857,0.5972013993003498
grid,512,last3,14,0.03,0.061373140662908554,0.8780284043441938,0.7692307692307693,0.8095238095238095,0.7543859649122807,0.7403846153846154
